,Unnamed: 0,person,mean_visited_site,label,mean_conversion,mean_viewed_product,visito_brand_listing,Apple,Motorola,Samsung,Bom - Sem Touch ID,Excelente,Muito Bom,Novo,Bom,vio color mas vendido,ad campaign hit,brand listing,checkout,conversion,generic listing,lead,search engine hit,searched products,staticpage,viewed product,visited site
0,0,0008ed71,2.0,0,0.0,0.0,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,False,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1,1,000c79fe,1.0,0,0.0,3.0,False,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,0.0,3.0,1.0
2,2,001802e4,1.0,0,0.0,2.0,False,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,True,5.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,1.0
3,3,0019e639,2.7142857142857144,0,0.3333333333333333,7.269230769230767,True,3.0,138.0,64.0,0.0,26.0,62.0,0.0,118.0,True,4.142857142857143,33.0,3.0,1.0,5.6,0.0,2.6,3.6666666666666665,0.0,27.0,2.7142857142857144
4,4,001ca5ee,3.0,0,0.0,8.666666666666666,True,53.0,0.0,0.0,0.0,36.0,8.0,0.0,9.0,True,1.4,1.1666666666666667,1.0,0.0,2.0,0.0,1.5,0.0,0.0,6.5,1.875
5,5,001dfc31,1.0,0,0.0,4.5,False,17.0,0.0,1.0,0.0,10.0,5.0,0.0,3.0,True,1.6666666666666667,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.0,1.3333333333333333
6,6,001e9aea,1.75,0,0.0,2.833333333333333,True,19.0,1.0,0.0,6.0,2.0,1.0,0.0,11.0,True,2.6,4.0,1.5,0.0,0.0,0.0,5.0,0.0,0.0,4.25,1.4
7,7,0020152e,1.0,0,0.16666666666666666,1.0,False,0.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,True,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8,8,002b0188,1.0,0,0.0,1.3333333333333333,True,0.0,0.0,10.0,0.0,0.0,0.0,0.0,13.0,True,2.0,8.5,1.0,0.0,1.5,0.0,1.0,0.0,0.0,6.0,1.0
9,9,002e74b2,1.0,0,0.0,2.0,False,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0
